No.,Kode Obat,Nama Obat,Golongan Obat,Kategori Obat,Frekuensi,Jumlah Terjual,Satuan,Total Nominal,Persentase,Persentase Kumulatif,Kategori Pareto,Stok,Kebutuhan Perperiode,Jumlah Pengadaan,Harga Beli,Nama Supllier,Status,Transaksi Terakhir
275,OMEP,Omeprazol 20/strip 10s,Obat Keras,,38,"52,00",Strip,"321.901,11","0,10%","60,72%",Pareto A,18,"52,50","35,00","3.712,00",AMS (Antarmitra Sembada),Under Stock,28 Sep 2022 
276,S000000000050,Seretide Diskus 100 mcg,Obat Keras,,1,"1,00",Botol,"319.772,13","0,10%","60,82%",Pareto A,1,"1,00","0,00","224.742,00",Langkah Insan Mandiri PT,Stock On Hand,08 Sep 2022 
277,kloder2,Kloderma Oint 10 Gr,Obat Keras,,6,"7,00",Tube,"319.217,13","0,10%","60,92%",Pareto A,8,"7,00","-1,00","34.775,00",Surya Prima Perkasa,Over Stock,24 Sep 2022 
278,COMB2,Combantrin Jeruk,Obat Bebas Terbatas,,15,"15,00",Botol,"318.649,92","0,10%","61,02%",Pareto A,11,"15,00","4,00","15.819,82",MULIA PRATAMA FIMADANI,Under Stock,27 Sep 2022 
279,0000850,Hi Bone Kaplet/Botol,Obat Bebas Terbatas,,2,"2,00",Botol,"317.881,80","0,10%","61,12%",Pareto A,2,"2,00","0,00","120.000,00",Sumber Agung Sentosa,Stock On Hand,13 Sep 2022 
280,S000000000033,Sterimar Nasal Spray Adult,Obat Bebas Terbatas,,2,"2,00",Botol,"317.324,58","0,10%","61,22%",Pareto A,4,"2,00","-2,00","119.790,00",KDE (Ka Dua Empat PT),Over Stock,27 Sep 2022 
281,BETAS2,Betason N Cr 5 GR,Obat Keras,,12,"15,00",Tube,"316.383,30","0,10%","61,32%",Pareto A,15,"15,00","0,00","14.850,00",Sumber Agung Sentosa,Stock On Hand,30 Sep 2022 
282,ASAM2,Asam Mefenamat 500 strip/10,Obat Keras,,57,"64,00",Strip,"316.341,12","0,10%","61,41%",Pareto A,27,"64,10","37,50","2.750,00",Enseval Putra Megatranding PT,Under Stock,30 Sep 2022 
283,BETAD1,Betadine Gargle 100 cc,Obat Bebas Terbatas,,11,"12,00",Botol,"316.252,32","0,10%","61,51%",Pareto A,7,"12,00","5,00","19.800,00",Mulya Wibawa PT,Under Stock,23 Sep 2022 
284,OBT2202200001,Sterimar Nasal Spray Baby,,,2,"2,00",Botol,"315.999,24","0,10%","61,61%",Pareto A,3,"2,00","-1,00","129.800,00",Kebayoran Pharma PT,Over Stock,14 Sep 2022 
285,C000000000112,C 1000 Orange Sido Muncul,Obat Bebas Terbatas,,11,"202,00",SACHET,"315.814,98","0,10%","61,71%",Pareto A,97,"202,00","105,00","1.300,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,25 Sep 2022 
286,0000544,Mecobalamine Caps Novell 500 mg,Obat Keras,,14,"260,00",KAPSUL,"313.641,60","0,10%","61,81%",Pareto A,271,"260,00","-11,00","800,00",Penta Valen,Over Stock,25 Sep 2022 
287,I000000000001,Imunped Drop,Obat Bebas Terbatas,,5,"5,00",Botol,"313.575,00","0,10%","61,91%",Pareto A,4,"5,00","1,00","47.350,00",Langkah Insan Mandiri PT,Under Stock,28 Sep 2022 
288,ENE1,ENERVON  C 30S,Obat Bebas Terbatas,,8,"8,00",Botol,"312.695,88","0,10%","62,00%",Pareto A,8,"8,00","0,00","29.410,00",Mulya Wibawa PT,Stock On Hand,28 Sep 2022 
289,VIC2,Vicks F44 Anak 54 ml,Obat Bebas Terbatas,,15,"15,00",Botol,"311.948,85","0,10%","62,10%",Pareto A,14,"15,00","1,00","15.553,00",Mulya Wibawa PT,Under Stock,27 Sep 2022 
290,S000000000093,Surgical Glove LATEX L/5s,Alat Kesehatan,,17,"31,00",SACHET,"310.412,61","0,10%","62,20%",Pareto A,122,"31,00","-91,00","5.810,00",AMS (Antarmitra Sembada),Over Stock,29 Sep 2022 
291,OBT2201250004,Fluconazol 150mg NOVELL,,,4,"14,00",CAPSUL,"308.826,42","0,10%","62,30%",Pareto A,22,"14,00","-8,00","15.000,00",AMS (Antarmitra Sembada),Over Stock,30 Sep 2022 
292,VOLTD2,Voltadex 50/10s,Obat Keras,,49,"62,00",Strip,"307.840,74","0,10%","62,39%",Pareto A,51,"62,00","11,00","3.120,00",SBM (Sabda Badranaya Mulya),Under Stock,30 Sep 2022 
293,0000566,Candesartan Tab 16 mg Dexa,Obat Keras,,3,"33,00",Tablet,"307.569,90","0,10%","62,49%",Pareto A,70,"33,00","-37,00","6.500,00",Combi Putra PT,Over Stock,22 Sep 2022 
294,pikang,Pi Kang Suang Hijau,Obat Bebas Terbatas,,18,"23,00",Tube,"307.472,22","0,10%","62,58%",Pareto A,18,"23,00","5,00","10.500,00",Langkah Insan Mandiri PT,Under Stock,30 Sep 2022 
295,SYMBC,Symbicort turbu 80/4.5mcg 60 dosis,Obat Keras,,1,"1,00",Botol,"307.359,00","0,10%","62,68%",Pareto A,1,"1,00","0,00","216.128,00",APL ID 293873,Stock On Hand,19 Sep 2022 
296,PRMX,Paramex Strip,Obat Bebas Terbatas,,65,"123,00",Strip,"306.577,56","0,10%","62,78%",Pareto A,84,"123,00","39,00","1.870,00",Langkah Insan Mandiri PT,Under Stock,30 Sep 2022 
297,0001315,Proten Vanilla,Obat Bebas Terbatas,,4,"24,00",SACHET,"306.487,65","0,10%","62,87%",Pareto A,11,"24,00","13,00","9.700,00",Merapi Utama Pharma PT,Under Stock,28 Sep 2022 
298,cefi,Cefixime 100 mg DEXA/STRIP,Obat Keras,,7,"8,00",Strip,"302.620,41","0,09%","62,97%",Pareto A,18,"8,80","-9,20","21.769,00",AAM (Anugrah Argon Medica),Over Stock,28 Sep 2022 
299,MUCO1,Mucos Drop,Obat Keras,,6,"6,00",Botol,"301.760,16","0,09%","63,06%",Pareto A,8,"6,00","-2,00","34.500,00",Kalista Prima PT,Over Stock,23 Sep 2022 
300,0000828,OB Herbal 100 ml,Obat Bebas Terbatas,,12,"12,00",Botol,"301.703,55","0,09%","63,16%",Pareto A,10,"12,00","2,00","19.468,00",Combi Putra PT,Under Stock,30 Sep 2022 
301,WOOD1,Woods Antitusif 60 ml,Obat Bebas Terbatas,,13,"14,00",Botol,"301.032,00","0,09%","63,25%",Pareto A,16,"14,00","-2,00","16.216,00",Mulya Wibawa PT,Over Stock,26 Sep 2022 
302,AMOXS3,Amoxsan Forte 60 ml,Obat Keras,,6,"6,00",Botol,"300.159,54","0,09%","63,34%",Pareto A,5,"6,00","1,00","32.800,00",BSP (Bina San Prima),Under Stock,27 Sep 2022 
303,M000000000117,Masker Duckbill Sensi Sachet 3s,Obat Bebas,,19,"30,00",SACHET,"299.178,30","0,09%","63,44%",Pareto A,20,"30,00","10,00","7.500,00",AMS (Antarmitra Sembada),Under Stock,29 Sep 2022 
304,A000000000097,Ataroc Tablet,Obat Keras,,7,"70,00",Tablet,"298.413,51","0,09%","63,53%",Pareto A,93,"70,00","-23,00","2.365,00",AMS (Antarmitra Sembada),Over Stock,10 Sep 2022 
305,Nrsk1,Nourish Skin ULTIMATE 30s,Obat Bebas Terbatas,,1,"1,00",Box,"298.180,41","0,09%","63,62%",Pareto A,2,"1,00","-1,00","225.000,00",KDE (Ka Dua Empat PT),Over Stock,04 Sep 2022 
306,OBHC21,OBH Combi Plus 100 ml Jahe,Obat Bebas Terbatas,,15,"15,00",Botol,"296.372,22","0,09%","63,72%",Pareto A,6,"15,00","9,00","14.850,00",Mulya Wibawa PT,Under Stock,25 Sep 2022 
307,OBHC2,OBH Combi Plus 100 ml Madu,Obat Bebas Terbatas,,15,"15,00",Botol,"296.148,00","0,09%","63,81%",Pareto A,7,"15,00","8,00","14.850,00",Barotama Mulya Perkasa,Under Stock,29 Sep 2022 
308,OBT2207270001,MASKER KN95 PRO MOUSON SACH 10S,,,20,"25,00",SACHET,"295.314,39","0,09%","63,90%",Pareto A,19,"25,00","6,00","9.500,00",Lain-lain suplier,Under Stock,29 Sep 2022 
309,M000000000100,Masker Cantol Kids Sensi 5s,Alat Kesehatan,,6,"18,00",SACHET,"292.047,66","0,09%","63,99%",Pareto A,33,"18,00","-15,00","12.250,00",AMS (Antarmitra Sembada),Over Stock,27 Sep 2022 
310,ROHCOO,Rohto Cool Tm,Obat Bebas Terbatas,,15,"16,00",Botol,"291.681,36","0,09%","64,09%",Pareto A,12,"16,00","4,00","13.770,00",Muda Jaya Sukses,Under Stock,27 Sep 2022 
311,DEXMt-4,"Dexamethason 0,5 Harsen/10s",Obat Keras,,65,"81,00",Strip,"289.650,06","0,09%","64,18%",Pareto A,33,"81,00","48,20","1.842,50",SBM (Sabda Badranaya Mulya),Under Stock,30 Sep 2022 
312,VEGE2,VEGE Blend JR 30s,Obat Bebas Terbatas,,2,"2,00",Box,"288.853,08","0,09%","64,27%",Pareto A,2,"2,00","0,00","109.000,00",AMS (Antarmitra Sembada),Stock On Hand,25 Sep 2022 
313,SISTN,Sistenol,Obat Keras,,8,"90,00",Tablet,"288.500,10","0,09%","64,36%",Pareto A,130,"90,00","-40,00","2.200,00",AAM (Anugrah Argon Medica),Over Stock,30 Sep 2022 
314,0000470,SUTRA MERAH 24S,Obat Bebas Terbatas,,7,"7,00",Dus,"286.333,38","0,09%","64,45%",Pareto A,6,"7,00","1,00","30.818,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
315,Regres1,Regrou FORTE Hair Restorer,Obat Keras,,2,"2,00",Botol,"284.120,04","0,09%","64,53%",Pareto A,4,"2,00","-2,00","98.850,00",KDE (Ka Dua Empat PT),Over Stock,26 Sep 2022 
316,MYLA1,Combantrin 250/Strip 2,Obat Bebas Terbatas,,11,"15,00",Strip,"284.095,62","0,09%","64,62%",Pareto A,13,"15,00","2,00","14.230,00",PT Parit Padang Global,Under Stock,25 Sep 2022 
317,0001239,Nitrokaf Retard Cap,Obat Keras,,4,"80,00",KAPSUL,"283.272,00","0,09%","64,71%",Pareto A,112,"80,00","-32,00","2.460,00",Kimia Farma PT,Over Stock,28 Sep 2022 
318,P000000000016,Pregabalin 75 mg Cap NOVELL,Obat Keras,,5,"39,00",KAPSUL,"282.203,07","0,09%","64,80%",Pareto A,16,"39,00","23,00","5.000,00",AMS (Antarmitra Sembada),Under Stock,27 Sep 2022 
319,Cetir S,Cetirizin Syr,Obat Keras,,15,"15,00",Botol,"279.873,18","0,09%","64,89%",Pareto A,10,"15,00","5,00","15.000,00",SBM (Sabda Badranaya Mulya),Under Stock,29 Sep 2022 
320,0000342,Redoxon Eff 15 Festive Pack,Obat Bebas Terbatas,,6,"6,00",Tube,"278.130,48","0,09%","64,98%",Pareto A,24,"6,00","-18,00","35.144,00",Dos Ni Roha PT,Over Stock,28 Sep 2022 
321,I000000000033,Irbesartan 300mg NOVELL,Obat Keras,,6,"55,00",Tablet,"276.112,50","0,09%","65,06%",Pareto A,35,"55,00","20,00","3.455,00",Apotek UII Farma,Under Stock,29 Sep 2022 
322,FLIXTD,FLIXOTIDE NEBULES 2 ML,Obat Keras,,4,"10,00",Ampul,"275.675,16","0,09%","65,15%",Pareto A,18,"10,00","-8,00","19.140,00",APL ID 293873,Over Stock,18 Sep 2022 
323,PhysiLo,Physiogel Lotion 200 ml,Obat Bebas Terbatas,,2,"1,00",Tube,"274.085,64","0,09%","65,23%",Pareto A,1,"1,05","-0,05","196.427,00",APL ID 293873,Over Stock,20 Sep 2022 
324,D000000000040,DeVit FT 1000 IU,Obat Bebas Terbatas,,8,"80,00",Tablet,"273.082,20","0,09%","65,32%",Pareto A,95,"80,00","-15,00","2.600,00",Kalista Prima PT,Over Stock,30 Sep 2022 
325,0000267,Madu Murni Nusantara 650 ml,Obat Bebas Terbatas,,2,"2,00",Botol,"273.015,60","0,09%","65,40%",Pareto A,5,"2,00","-3,00","104.000,00",Sembilan (CV Q Sembilan),Over Stock,29 Sep 2022 
326,BIS2,Bisolvon 10s/Tab,Obat Bebas Terbatas,,11,"100,00",Tablet,"272.658,18","0,09%","65,49%",Pareto A,70,"100,00","30,00","1.948,47",Combi Putra PT,Under Stock,29 Sep 2022 
327,OBT2202230001,Intunal Forte/Strip isi 10,Obat Bebas Terbatas,Flu Batuk Dewasa,25,"27,00",Strip,"268.601,13","0,08%","65,57%",Pareto A,21,"27,00","6,00","7.500,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
328,0001611,BM I Folic 150s,Obat Bebas Terbatas,,1,"150,00",Tablet,"265.956,00","0,08%","65,66%",Pareto A,150,"150,00","0,00","1.436,37",Enseval Putra Megatranding PT,Stock On Hand,29 Sep 2022 
329,BUSCP2,Buscopan Plus Tab,Obat Keras,,11,"42,00",Tablet,"265.756,20","0,08%","65,74%",Pareto A,114,"42,00","-72,00","4.241,48",Sumber Agung Sentosa,Over Stock,15 Sep 2022 
330,T000000000058,Termometer Digital Alpha 3 Lentur,Obat Bebas Terbatas,,10,"10,00",PC,"264.248,82","0,08%","65,82%",Pareto A,7,"10,00","3,00","20.000,00",Dwidaya Langgeng Sentosa,Under Stock,25 Sep 2022 
331,SILA1,Siladex ME Hijau 60 ml,Obat Bebas Terbatas,,16,"17,00",Botol,"263.943,57","0,08%","65,91%",Pareto A,5,"17,00","12,00","11.520,00",Barotama Mulya Perkasa,Under Stock,29 Sep 2022 
332,ULTRF,Ultraflu PE Strip,Obat Bebas Terbatas,,46,"74,00",Strip,"263.558,40","0,08%","65,99%",Pareto A,44,"74,00","30,00","2.989,20",SBM (Sabda Badranaya Mulya),Under Stock,30 Sep 2022 
333,INCDOD,Incidal OD,Obat Keras,,9,"49,00",KAPSUL,"262.903,50","0,08%","66,07%",Pareto A,38,"49,00","11,00","3.628,24",Enseval Putra Megatranding PT,Under Stock,26 Sep 2022 
334,0000204,Cal-95 Caplet,Obat Bebas Terbatas,,3,"36,00",Tablet,"262.257,48","0,08%","66,15%",Pareto A,66,"36,00","-30,00","5.500,00",Penta Valen,Over Stock,28 Sep 2022 
335,0000661,Pristine 600 ml,Minuman,,62,"70,00",Botol,"261.834,57","0,08%","66,23%",Pareto A,8,"70,00","62,00","2.765,18",Sinar Mas Distribusi Nusantara,Under Stock,30 Sep 2022 
336,MKPL04,KP Lang 120 Ml,Obat Bebas Terbatas,,6,"6,00",Botol,"261.369,48","0,08%","66,32%",Pareto A,5,"6,00","1,00","33.419,00",Mulya Wibawa PT,Under Stock,18 Sep 2022 
337,0000597,Tempra Syr 100ml,Obat Bebas Terbatas,,4,"4,00",Botol,"260.011,95","0,08%","66,40%",Pareto A,3,"4,00","1,00","49.000,00",Putra Perdana Khadijah,Under Stock,22 Sep 2022 
338,C-XTL2,C XITROL SALEP MATA,Obat Keras,,5,"5,00",Tube,"259.713,36","0,08%","66,48%",Pareto A,4,"5,00","1,00","35.875,00",Putra Perdana Khadijah,Under Stock,26 Sep 2022 
339,0000699,Avamys Nasal Spray,Obat Keras,,1,"1,00",Botol,"258.865,32","0,08%","66,56%",Pareto A,2,"1,00","-1,00","181.913,00",APL ID 293873,Over Stock,18 Sep 2022 
340,00RY151,Ryvell Drop,Obat Keras,,3,"3,00",Botol,"258.374,70","0,08%","66,64%",Pareto A,2,"3,00","1,00","60.000,00",AMS (Antarmitra Sembada),Under Stock,27 Sep 2022 
341,0001357,Gliquidon Tab,Obat Keras,,2,"125,00",Tablet,"256.987,20","0,08%","66,72%",Pareto A,130,"125,00","-5,00","1.204,45",Apotek UII Farma,Over Stock,24 Sep 2022 
342,ard1,Ardium HD 500mg,Obat Bebas Terbatas,,7,"25,00",Tablet,"256.835,13","0,08%","66,80%",Pareto A,42,"25,00","-17,00","7.700,00",APL ID 293873,Over Stock,29 Sep 2022 
343,C000000000068,C Oculenta SM,Obat Bebas Terbatas,,3,"3,00",Tube,"256.341,18","0,08%","66,88%",Pareto A,3,"3,00","0,00","63.875,00",Penta Valen,Stock On Hand,24 Sep 2022 
344,0000733,Nutrafor Chol,Obat Bebas Terbatas,,7,"100,00",Tablet,"254.856,00","0,08%","66,96%",Pareto A,140,"100,00","-40,00","1.916,67",AMS (Antarmitra Sembada),Over Stock,29 Sep 2022 
345,NEW DIA,New Diatab Strip,Obat Bebas Terbatas,,25,"57,00",Strip,"254.824,92","0,08%","67,04%",Pareto A,27,"57,00","30,00","3.500,00",Adikara Kelapa,Under Stock,30 Sep 2022 
346,IMUNS,Imunos/tab,Obat Bebas Terbatas,,5,"24,00",Tablet,"254.305,44","0,08%","67,12%",Pareto A,57,"24,00","-33,00","8.000,00",Penta Valen,Over Stock,19 Sep 2022 
347,0000299,Fenofibrate 300mg,Obat Keras,,4,"44,00",Tablet,"253.901,40","0,08%","67,20%",Pareto A,90,"44,00","-46,00","4.000,00",AAM (Anugrah Argon Medica),Over Stock,17 Sep 2022 
348,0001274,Donepezil 5 mg,Obat Keras,,1,"30,00",Tablet,"253.857,00","0,08%","67,28%",Pareto A,45,"30,00","-15,00","6.000,00",AMS (Antarmitra Sembada),Over Stock,24 Sep 2022 
349,C000000000073,Comtusi Syr Strawberry 60ml,Obat Keras,,5,"5,00",Botol,"253.762,65","0,08%","67,36%",Pareto A,4,"5,00","1,00","35.100,00",Combi Putra PT,Under Stock,30 Sep 2022 
350,MTW,TAWON CC,Obat Bebas Terbatas,,10,"10,00",Botol,"253.543,98","0,08%","67,44%",Pareto A,11,"10,00","-1,00","19.100,00",Barotama Mulya Perkasa,Over Stock,30 Sep 2022 
351,0000876,Hp Pro,Obat Bebas Terbatas,,2,"30,00",KAPSUL,"252.680,40","0,08%","67,52%",Pareto A,50,"30,00","-20,00","6.416,67",Kebayoran Pharma PT,Over Stock,25 Sep 2022 
352,0000450,Urinter,Obat Keras,,3,"30,00",Tablet,"252.658,20","0,08%","67,60%",Pareto A,20,"30,00","10,00","5.775,00",Apotek UII Farma,Under Stock,21 Sep 2022 
353,PONS2,Ponstan 500 mg,Obat Keras,,16,"61,00",Tablet,"252.154,26","0,08%","67,68%",Pareto A,137,"61,00","-76,00","2.688,84",AAM (Anugrah Argon Medica),Over Stock,27 Sep 2022 
354,SCO200,Scotts EMULSION Jeruk 200 ml,Obat Bebas Terbatas,,5,"5,00",Botol,"251.814,60","0,08%","67,75%",Pareto A,6,"5,00","-1,00","37.982,00",Langkah Insan Mandiri PT,Over Stock,23 Sep 2022 
355,A000000000058,ASEPTIC PLUS CAIR 5L,Obat Bebas Terbatas,,1,"1,00",Botol,"250.583,61","0,08%","67,83%",Pareto A,0,"1,00","1,00","189.190,00",Dwidaya Langgeng Sentosa,Potential Lost,29 Sep 2022 
356,VIT C,Vit C IPI,Obat Bebas Terbatas,,32,"39,00",Botol,"250.478,16","0,08%","67,91%",Pareto A,43,"39,00","-4,00","4.850,50",Tempo PT,Over Stock,29 Sep 2022 
357,MYON,Myonep Tab,Obat Keras,,4,"36,00",Tablet,"249.186,12","0,08%","67,99%",Pareto A,95,"36,00","-59,00","4.800,00",Penta Valen,Over Stock,19 Sep 2022 
358,FULDIC2,FULADIC  Cream  5 GR,Obat Keras,,2,"3,00",Tube,"248.601,15","0,08%","68,07%",Pareto A,2,"3,00","1,00","53.000,00",Kalista Prima PT,Under Stock,22 Sep 2022 
359,FORUM1,Forumen TT 10ml,Obat Bebas Terbatas,,7,"7,00",Botol,"248.562,30","0,08%","68,14%",Pareto A,6,"7,00","1,00","26.200,00",BSP (Bina San Prima),Under Stock,26 Sep 2022 
360,METF02,Metformin 500mg/Dexa 10s,Obat Keras,,22,"89,00",Strip,"248.365,83","0,08%","68,22%",Pareto A,45,"89,00","44,50","1.815,00",AAM (Anugrah Argon Medica),Under Stock,28 Sep 2022 
361,8997038,NaCl Otsu 100mL,Obat Keras,,8,"12,00",Botol,"248.302,56","0,08%","68,30%",Pareto A,12,"12,00","0,00","13.800,00",Merapi Utama Pharma PT,Stock On Hand,27 Sep 2022 
362,fiesta8,FIESTA MAX DOTTED 3S,Obat Bebas Terbatas,,9,"18,00",PC,"247.314,66","0,08%","68,38%",Pareto A,14,"18,00","4,00","10.364,00",AMS (Antarmitra Sembada),Under Stock,27 Sep 2022 
363,Efisol,Efisol/Tab,Obat Bebas Terbatas,,12,"140,00",Tablet,"246.553,20","0,08%","68,45%",Pareto A,70,"140,00","70,00","1.325,00",AMS (Antarmitra Sembada),Under Stock,29 Sep 2022 
364,SANM3,Sanmol Strip 4S,Obat Bebas Terbatas,,70,"123,00",Strip,"246.374,49","0,08%","68,53%",Pareto A,113,"123,00","10,00","1.452,00",BSP (Bina San Prima),Under Stock,30 Sep 2022 
365,TRANS8,Transpulmin Baby Balsem 20 gr,Obat Bebas Terbatas,,3,"3,00",Tube,"246.360,06","0,08%","68,61%",Pareto A,3,"3,00","0,00","62.000,00",APL ID 293873,Stock On Hand,28 Sep 2022 
366,FART,Fartolin Expectorant Syr,Obat Keras,,4,"4,00",Botol,"245.368,83","0,08%","68,69%",Pareto A,4,"4,00","0,00","42.500,00",PT Parit Padang Global,Stock On Hand,25 Sep 2022 
367,PROFS1,PROFILAS Syrup,Obat Keras,,2,"2,00",Botol,"245.202,33","0,08%","68,76%",Pareto A,2,"2,00","0,00","85.000,00",Enseval Putra Megatranding PT,Stock On Hand,23 Sep 2022 
368,D000000000013,Diagit Strip 10s,Obat Bebas Terbatas,,6,"7,00",Strip,"243.447,42","0,08%","68,84%",Pareto A,5,"7,00","2,00","26.250,00",Enseval Putra Megatranding PT,Under Stock,28 Sep 2022 
369,BENO6,Benoson N Krim 15 g,Obat Keras,,4,"5,00",Tube,"243.027,84","0,08%","68,91%",Pareto A,2,"5,00","3,00","33.636,00",Langkah Insan Mandiri PT,Under Stock,28 Sep 2022 
370,IKAD2,Ikaderm Oint 10 Gr,Obat Keras,,1,"5,00",Tube,"241.902,30","0,08%","68,99%",Pareto A,6,"5,00","-1,00","32.500,00",Distriversa Buana Mas PT,Over Stock,28 Sep 2022 
371,DULCO,Dulcolac 10s/Tab,Obat Bebas Terbatas,,11,"120,00",Tablet,"241.575,96","0,08%","69,07%",Pareto A,171,"120,00","-51,00","1.515,63",Langkah Insan Mandiri PT,Over Stock,29 Sep 2022 
372,0000782,Bio 7,Obat Bebas Terbatas,,1,"1,00",Botol,"239.965,35","0,08%","69,14%",Pareto A,1,"1,00","0,00","180.000,00",Adikara Kelapa,Stock On Hand,26 Sep 2022 
373,F000000000029,Ferro K Drop,Obat Bebas Terbatas,,4,"6,00",Botol,"238.638,90","0,07%","69,22%",Pareto A,7,"6,00","-1,00","30.000,00",AMS (Antarmitra Sembada),Over Stock,26 Sep 2022 
374,OBT2206090003,INSTO COOL 7.5ML,,,14,"14,00",Botol,"238.339,20","0,07%","69,29%",Pareto A,6,"14,00","8,00","12.784,00",APL ID 293873,Under Stock,30 Sep 2022 
375,Bacto 1,Bactoderm 5 gr Cr,Obat Keras,,4,"4,00",Tube,"237.926,28","0,07%","69,36%",Pareto A,3,"4,00","1,00","41.000,00",KDE (Ka Dua Empat PT),Under Stock,26 Sep 2022 
376,LOTS,lotasbat cr 10 g,Obat Keras,,1,"3,00",Tube,"237.088,23","0,07%","69,44%",Pareto A,6,"3,00","-3,15","56.175,00",Enseval Putra Megatranding PT,Over Stock,13 Sep 2022 
377,KETOM01,Ketomed Scalp Solution,Obat Keras,,4,"4,00",Botol,"236.945,04","0,07%","69,51%",Pareto A,4,"4,00","0,00","40.100,00",AMS (Antarmitra Sembada),Stock On Hand,13 Sep 2022 
378,0000831,Bactoderm Oint 10 gr,Obat Keras,,3,"3,00",Tube,"236.276,82","0,07%","69,59%",Pareto A,3,"3,00","0,00","56.700,00",Distriversa Buana Mas PT,Stock On Hand,16 Sep 2022 
379,D000000000058,Dettol Cair 495 ml,Obat Bebas Terbatas,,2,"2,00",Botol,"236.047,05","0,07%","69,66%",Pareto A,1,"2,00","1,00","97.470,00",Langkah Insan Mandiri PT,Under Stock,29 Sep 2022 
380,OBHC10,OBH Combi Batuk Berdahak 100 ml Jah,Obat Bebas Terbatas,,16,"16,00",Botol,"236.008,20","0,07%","69,73%",Pareto A,12,"16,00","4,00","11.500,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
381,S000000000054,Salofalk 250mg,Obat Keras,,3,"22,00",Tablet,"235.841,70","0,07%","69,81%",Pareto A,0,"22,00","22,00","7.450,00",Apotek UII Farma,Potential Lost,24 Sep 2022 
382,CALAD,Caladine lotion 60 ml,Obat Bebas Terbatas,,13,"13,00",Botol,"235.779,54","0,07%","69,88%",Pareto A,12,"13,00","1,00","13.675,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
383,0000404,Pimtracol Syr Cherry 60 ml,Obat Bebas Terbatas,,9,"13,00",Botol,"231.406,14","0,07%","69,95%",Pareto A,15,"13,00","-2,00","13.329,00",Mulya Wibawa PT,Over Stock,23 Sep 2022 
384,ALOP,Allopurinol 100/Stip 10s,Obat Keras,,40,"47,00",Strip,"229.602,39","0,07%","70,03%",Pareto A,36,"47,00","11,50","2.500,00",PT Parit Padang Global,Under Stock,28 Sep 2022 
385,Seretin,Seretide 125 mg inhaler,Obat Keras,,1,"1,00",Botol,"227.934,06","0,07%","70,10%",Pareto A,1,"1,00","0,00","160.083,00",Langkah Insan Mandiri PT,Stock On Hand,16 Sep 2022 
386,P000000000035,Pantopump 40mg Tablet,Obat Keras,,1,"7,00",Tablet,"227.745,36","0,07%","70,17%",Pareto A,8,"7,00","-1,00","22.850,00",Enseval Putra Megatranding PT,Over Stock,21 Sep 2022 
387,RHINOF,Rhinofed Tab @50 Tablet,Obat Keras,,7,"71,00",Tablet,"227.736,48","0,07%","70,24%",Pareto A,76,"71,00","-5,00","2.200,00",AAM (Anugrah Argon Medica),Over Stock,26 Sep 2022 
388,C L,You C 1000 Lemon 140 ml,Minuman,,22,"25,00",Botol,"226.972,80","0,07%","70,31%",Pareto A,20,"25,00","5,00","7.000,00",Adikara Kelapa,Under Stock,29 Sep 2022 
389,Ethy,Ethyl Chloride Spray Duta Kaisar,Obat Keras,,1,"1,00",Botol,"226.541,01","0,07%","70,38%",Pareto A,2,"1,00","-1,00","159.100,00",Rajawali Nusindo,Over Stock,08 Sep 2022 
390,ALCO1,Alco Oral Drops 15 ml,Obat Bebas Terbatas,,2,"2,00",Botol,"226.491,06","0,07%","70,45%",Pareto A,4,"2,00","-2,00","85.500,00",Enseval Putra Megatranding PT,Over Stock,17 Sep 2022 
391,TA Flu,Tolak Angin Flu/Banded 3s,Obat Bebas Terbatas,,12,"20,00",BANDED,"226.180,26","0,07%","70,52%",Pareto A,38,"20,00","-18,00","9.484,25",Victory Indo Partnership PT,Over Stock,30 Sep 2022 
392,A000000000081,Aloclair Plus Spray,Obat Bebas Terbatas,,2,"2,00",Botol,"225.165,72","0,07%","70,59%",Pareto A,3,"2,00","-1,00","85.000,90",Sumber Agung Sentosa,Over Stock,22 Sep 2022 
393,OBT2202180003,Fungasol SS 2% 80 mL,,,2,"2,00",Botol,"223.842,60","0,07%","70,66%",Pareto A,1,"2,00","1,00","84.500,00",Penta Valen,Under Stock,21 Sep 2022 
394,Z000000000014,Zaitun Inolive Olive Oil 150s,Obat Bebas Terbatas,,3,"3,00",Botol,"223.821,51","0,07%","70,73%",Pareto A,1,"3,00","2,00","56.500,00",Adikara Kelapa,Under Stock,28 Sep 2022 
395,M000000000106,Masker Cantol Orle isi 5,Alat Kesehatan,,29,"69,00",SACHET,"222.803,64","0,07%","70,80%",Pareto A,49,"69,00","20,00","2.400,00",Dwidaya Langgeng Sentosa,Under Stock,30 Sep 2022 
396,INST2,INSTO REGULER 15ML,Obat Bebas Terbatas,,9,"10,00",Botol,"220.078,59","0,07%","70,87%",Pareto A,12,"10,00","-2,00","16.600,00",APL ID 293873,Over Stock,21 Sep 2022 
